,Project Number,Purchase Type,Remote Net Metering,Affordable Solar,Community Distributed Generation
167,2011-158051-SLPR,Purchase,,No,No
168,2011-432691-Sola,Purchase,,No,No
169,2013-538832-Sola,Lease,,No,No
170,4003-19332,,,No,No
171,2014-648138-Sola,Purchase,,No,No
172,2013-538408-Sola,Lease,,No,No
173,2013-528741-Sola,Purchase,,No,No
174,2014-658903-Sola,Lease,,No,No
175,2013-536566-Sola,Lease,,No,No
176,2012-475959-Sola,Purchase,,No,No
177,2011-157516-SLPR,Purchase,,No,No
178,2012-502747-Sola,Purchase,,No,No
179,2011-158995-SLPR,Purchase,,No,No
180,4030-106,,,No,No
181,2013-539532-Sola,Lease,,No,No
182,4054-21679,,,No,No
183,2013-537072-Sola,Lease,,No,No
184,2014-658880-Sola,Lease,,No,No
185,2011-158099-SLPR,Purchase,,No,No
186,2011-447572-Sola,Purchase,,No,No
187,2011-160917-SLPR,Purchase,,No,No
188,2014-660669-Sola,Lease,,No,No
189,2012-448572-SLPR,Purchase,,No,No
190,2013-555539-Sola,Lease,,No,No
191,2013-538700-Sola,Lease,,No,No
192,2014-644755-Sola,Lease,,No,No
193,2013-532872-Sola,Lease,,No,No
194,2011-160103-SLPR,Purchase,,No,No
195,2014-663282-Sola,Lease,,No,No
196,2013-536103-Sola,Lease,,No,No
197,2014-658870-Sola,Lease,,No,No
