$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
2436.5,5,5869
12045.96,8.83,10364
4767.03,8.75,10271
4206.55,8.25,9684
9454.84,8.5,9978
100900,25.3,29698
17500,12.22,14344
17040,4.54,5329
8540,4.88,5728
72500,21,24651
45000,10.08,11832
36120,9.03,10600
8740,4.84,5681
4101,9.31,10928
4027.56,7.95,9332
9712.5,5.55,6515
10125,2.7,3169
6234.45,13.75,16140
17500,10.35,12149
3428.77,8,9391
2405.53,4.86,5705
2653.04,6.62,7765
27500,10.08,11832
15120,8.64,10142
7840,4.48,5259
17500,11.28,13241
8820,5.04,5916
58548,19.52,22909
10780,6.16,7231
4164.71,7.4,8681
7350,4.2,4930
4064.57,5.25,6163
16500,10.4,12208
11938.94,10.6,12443
2231.69,4.17,4889
13291.25,7.6,8915
3550.37,8.67,10177
3178.65,7.91,9285
64240,23.36,27421
15435,8.82,10353
13235.07,9.56,11216
3844.99,7.85,9212
2407.85,5.1,5987
6300,1.58,1849
19800,4.95,5811
4152.75,9.01,10576
14520,7.26,8522
4117.68,9.57,11234
12250,7.36,8639
3632.31,10.2,11973
11655,6.66,7818
2187.35,3.92,4601
7875,4.5,5282
7140,4.08,4789
4438.67,11.22,13170
3997.59,8.48,9954
3360,5.6,6574
5544.65,6.35,7448
39200,9.8,11504
43743.28,28.32,33243
6500,5,5869
24500,7,8217
2750.42,5.89,6909
17500,13.08,15354
13734,9.81,11515
6580,3.76,4414
3968.07,7.84,9203
6048,6.72,7888
9432.5,5.39,6327
3129.67,6.37,7477
49950,9.99,11727
27680,7.56,8874
28800,4.8,5634
2656.61,5.36,6286
35000,10.08,11832
34912.5,9.98,11715
200000,80.64,94658
85750,49,57518
7560,4.32,5071
2250,0.5,587
39936,9.98,11715
49500,9.9,11621
17500,10.4,12208
8073.26,10,11738
5504.63,12.65,14849
12600,7.2,8452
20475,6.3,7395
8829,9.81,11515
4918.22,5.79,6791
21362.5,6.21,7290
4616.7,10.92,12818
7440,7.44,8733
157840,44.28,51978
9600,2.4,2817
15750,6.3,7395
19635,5.24,6151
37500,10.03,11774
34650,9.9,11621
49500,9.9,11621
7140,4.08,4789
17500,10.14,11903
17500,10.12,11879
17500,10.12,11879
5549.29,12.15,14262
48000,9.6,11269
17160,4.58,5376
86240,49.28,57847
12600,3.15,3698
4420.4,3.68,4314
34650,9.9,11621
35000,10.11,11868
17500,10.05,11791
10500,10.5,12325
9047.5,5.17,6069
6600,23.54,27637
2578.57,4.77,5599
32357.5,9.25,10858
2690.14,4.83,5670
6546.7,11.76,13804
23094.5,4.86,5705
36052,20.6,24182
2555.07,6.89,8088
2666.54,5.5,6456
29935.12,20.16,23665
10395,2.97,3486
17500,10.04,11785
37440,9.98,11715
41584.48,28.78,33778
1824.93,5.87,6885
5895.41,7.75,9097
11672.5,6.67,7830
17599.5,6.48,7606
1064.51,3.06,3592
35000,10.18,11950
20000,10.34,12138
1952.18,5.1,5987
14595.19,12.74,14955
3562.47,9,10565
4839.9,10.6,12443
19975,7.99,9379
12075,4.83,5670
19740,5.64,6620
2990.48,3.06,3592
6867,6.87,8061
23250,6.2,7278
15312.5,8.75,10271
87500,55.58,65236
2395.66,4.41,5177
2505.7,4.91,5758
2541.42,5.25,6163
35000,10.12,11879
11830,6.76,7935
3949.36,10.07,11821
32340,9.24,10846
4465.7,8.83,10364
2250.06,4.34,5089
10328.78,8.82,10353
17500,10.4,12208
3803.99,6.75,7923
17500,10.24,12020
2483.05,5.39,6327
4900.03,10,11738
34776,9.94,11668
10080,5.76,6761
4658.71,9.44,11075
8505,4.86,5705
4410,2.52,2958
19320,5.52,6480
4368,6.24,7325
4018.64,7.65,8980
12250,7.05,8276
5215.71,6.75,7923
22639.5,5.16,6057
5855,7.52,8827
36000,7.2,8452
17004.25,15.7,18425
6600,14.54,17068
36225,20.7,24298
17220,9.84,11551
21840,6.24,7325
35000,10.08,11832
8881.72,7,8217
2106.49,5.36,6286
1732.96,3.68,4314
35000,10.08,11832
15750,4.2,4930
17500,10.34,12138
3080.81,7.02,8240
22472,5.82,6836
4331.12,8,9391
4403.01,5.15,6039
3704.24,8.67,10177
3713.71,7.5,8804
5221.72,10.14,11899
5040,2.52,2958
8297.48,6.5,7630
7285.55,5.88,6902
9173.24,7.5,8804
5135.2,10.35,12149
14105,8.06,9461
5600,5.6,6574
2859.59,6.12,7184
39600,9.9,11621
3888,6,7043
9712.5,5.55,6515
35000,10.13,11891
11040,3.68,4320
17550,4.68,5494
8640,2.16,2535
15772.15,10.46,12283
13600,4.8,5634
6440,3.68,4320
17325,9.9,11621
14580,9.72,11410
35000,10.14,11903
7080.96,9.4,11034
2800,3.5,4108
17500,10.14,11903
28350,8.1,9508
14878.5,8.5,9980
5719.39,10.75,12619
27965,7.99,9379
18060,5.16,6057
31450,9.89,11609
19320,5.52,6480
3541.95,7.02,8240
4810.61,9.16,10748
2385.12,5.39,6327
25760,7.36,8639
3220,1.84,2160
31500,9,10565
4587.61,9.81,11515
3879.04,7.4,8681
8820,5.21,6110
4185.63,4.7,5517
87500,52.92,62120
35000,10.12,11879
