,Project Number,Project Cost
703,2011-158760-SLPR,24772.1
704,2013-525160-Sola,53168
705,2013-633928-Sola,16485
706,2011-448215-Sola,25791
707,2011-157151-SLPR,67500
708,2014-665440-Sola,50872
709,2013-584020-Sola,27070
710,2011-159876-SLPR,40475
711,2014-645911-Sola,33495
712,4014-34952,796411
713,2011-157179-SLPR,1830
714,2014-660638-Sola,37485
715,2010-146062-SLPR,52000
716,2013-532069-Sola,44930
717,2013-542088-Sola,22000
718,2011-159234-SLPR,60750
719,2011-157438-SLPR,78707
720,2011-157941-SLPR,42055
721,2011-371423-SLPR,53664
722,2011-160469-SLPR,69696
723,2013-531503-Sola,29988
724,2011-158355-SLPR,
725,2014-673263-Sola,34451
726,2013-538768-Sola,22385
727,2011-382720-SLPR,44675
728,2014-653955-Sola,19425.88
729,4033-21069,69133.48
730,4030-26092,169132
731,4006-78338,41446
732,2012-475816-Sola,41751.36
733,2013-531505-Sola,24480
734,2011-160412-SLPR,65800
735,4033-49119,30139.2
736,2011-159436-SLPR,57600
737,2014-646602-Sola,31181
738,2014-653921-Sola,68554
739,4011-011,50862
740,2014-646009-Sola,11668
741,2014-648453-Sola,26066
742,2011-150687-SLPR,53318
743,2014-665944-Sola,56227
744,4030-20794,31142
745,2014-646303-Sola,21750
746,2013-584733-Sola,23401
747,2011-156680-SLPR,2450
748,2012-464629-Sola,50996
749,2013-537310-Sola,46556
750,2011-158858-SLPR,5000
751,2013-524657-Sola,187986
752,2011-157405-SLPR,18500
753,2011-158864-SLPR,39590
754,2011-158028-SLPR,67500
755,2014-650940-Sola,33547
756,4030-20124,305040
757,2011-160409-SLPR,78624
758,2012-471762-Sola,39000
759,2014-645194-Sola,56885
760,2011-432942-SLPR,204672
761,2013-539668-Sola,42786
762,2011-414248-Sola,45793
763,2012-518564-Sola,51562.5
764,4025-36168,82500
765,4054-23845,29688
766,4005-032,14920
767,2013-535762-Sola,32415.82
768,2013-531243-Sola,29988
769,4033-53795,25129.6
770,2014-658744-Sola,38823
771,2010-144145-SLPR,59318
772,2011-157648-SLPR,69550
773,2014-639854-Sola,26254
774,2013-534716-Sola,39200
775,2014-655035-Sola,10000
776,2014-648333-Sola,26626
777,4030-19435,27727
778,2013-540872-Sola,40691
779,2011-159452-SLPR,44642
780,2012-519417-Sola,25987.5
781,2014-648855-Sola,51250
782,2013-534523-Sola,31500
783,2013-539497-Sola,18098
784,2011-371989-SLPR,22409.6
785,2013-531703-Sola,49858
786,2014-640428-Sola,23337
787,2013-521858-Sola,42019
788,2011-269195-SLPR,28512
789,2012-486051-Sola,35424
790,2011-156360-SLPR,31600
791,2011-159327-SLPR,58700
792,2011-156870-SLPR,64153
793,2014-646419-Sola,35000
794,2010-147340-SLPR,31136
795,2013-633961-Sola,42697
796,2010-145303-SLPR,53636
797,2011-158135-SLPR,33480
798,2013-538864-Sola,39200
799,2011-440609-Sola,27725
800,2011-158400-SLPR,54000
801,2010-145791-SLPR,28358
802,2011-157465-SLPR,21812.5
803,2012-465859-Sola,30832
804,2013-535615-Sola,15818.66
805,4006-42223,16065
806,2014-636854-Sola,64045
807,2014-664424-Sola,25436
808,4054-19551,30000
809,2011-158152-SLPR,41595
810,2014-664587-Sola,32200
811,2012-456399-Sola,225642
812,2011-159076-SLPR,39690
813,2011-156762-SLPR,16813.3
814,2010-146726-SLPR,57948
815,2014-659092-Sola,66937
816,4033-36936,56065.73
817,2011-156954-SLPR,55770.1
818,2013-538131-Sola,33185
819,4089-67105,166768.1
820,4006-41275,19125
821,2011-156365-SLPR,22230
822,2011-161044-SLPR,36580
823,2011-447588-Sola,43178
824,2014-660882-Sola,44178
825,2010-147289-SLPR,52734
826,4021-001,47570
827,2010-149524-SLPR,20462.3
828,4005-049,32361
829,2011-159917-SLPR,42500
830,2010-147689-SLPR,289036
831,2011-160839-SLPR,38000
832,2011-158512-SLPR,
833,2013-534384-Sola,20511
834,2014-661106-Sola,33468
835,2014-655226-Sola,24623
836,2011-157979-SLPR,
837,2013-628333-Sola,2990
838,2013-537712-Sola,43802
839,2014-655196-Sola,37887.5
840,2014-643551-Sola,49335
841,2013-536347-Sola,45994
842,4056-011,196643
843,2012-469370-Sola,44584
844,2011-157744-SLPR,36897.2
845,2011-346646-SLPR,24400
846,2011-159809-SLPR,283500
847,2011-159098-SLPR,105000
848,2011-157380-SLPR,72000
849,2011-440829-Sola,24877.6
850,2013-542693-Sola,55673
851,2014-648653-Sola,28902
852,2010-148648-SLPR,25919
853,2011-157605-SLPR,13957.1
854,2013-625483-Sola,45000
855,2011-346659-SLPR,67172
856,2014-647926-Sola,40000
857,2014-654967-Sola,20218
858,2014-640094-Sola,33075
859,2011-161144-SLPR,55000
860,2012-487804-Sola,44064
861,2012-457735-Sola,24000
862,2011-414489-Sola,63000
863,4054-20708,27340
864,2010-145888-SLPR,112802
865,2011-150327-SLPR,31152
866,2014-646477-Sola,42299
867,4054-19778,23940
868,2013-538561-Sola,23925
