Project Number,$Incentive
2011-156360-SLPR,19200
2011-159327-SLPR,29106
2011-156870-SLPR,27054
2014-646419-Sola,5260.56
2010-147340-SLPR,12580
2013-633961-Sola,3410.35
2010-145303-SLPR,25000
2011-158135-SLPR,16200
2013-538864-Sola,5387.56
2011-440609-Sola,8050
2011-158400-SLPR,35000
2010-145791-SLPR,12420
2011-157465-SLPR,17784
2012-465859-Sola,11375
2013-535615-Sola,5793.84
4006-42223,4590
2014-636854-Sola,4397.11
2014-664424-Sola,2446.75
4054-19551,8750
2011-158152-SLPR,19031.3
2014-664587-Sola,2642.03
2012-456399-Sola,137280
2011-159076-SLPR,19845
2011-156762-SLPR,15000
2010-146726-SLPR,20000
2014-659092-Sola,5566.42
4033-36936,13162
2011-156954-SLPR,44887.5
2013-538131-Sola,6485.75
4089-67105,20928
4006-41275,5100
2011-156365-SLPR,17280
2011-161044-SLPR,17077.5
2011-447588-Sola,14560
2014-660882-Sola,3250.83
2010-147289-SLPR,20000
4021-001,19008
2010-149524-SLPR,14217.5
4005-049,11920
2011-159917-SLPR,22575
2010-147689-SLPR,87500
2011-160839-SLPR,24700
2011-158512-SLPR,47500
2013-534384-Sola,4509.85
2014-661106-Sola,2542.18
2014-655226-Sola,1487.34
2011-157979-SLPR,21937.5
2013-628333-Sola,2436.5
2013-537712-Sola,12045.96
2014-655196-Sola,4767.03
2014-643551-Sola,4206.55
2013-536347-Sola,9454.84
4056-011,100900
2012-469370-Sola,17500
2011-157744-SLPR,17040
2011-346646-SLPR,8540
2011-159809-SLPR,72500
2011-159098-SLPR,45000
2011-157380-SLPR,36120
2011-440829-Sola,8740
2013-542693-Sola,4101
2014-648653-Sola,4027.56
2010-148648-SLPR,9712.5
2011-157605-SLPR,10125
2013-625483-Sola,6234.45
2011-346659-SLPR,17500
2014-647926-Sola,3428.77
2014-654967-Sola,2405.53
2014-640094-Sola,2653.04
2011-161144-SLPR,27500
2012-487804-Sola,15120
2012-457735-Sola,7840
2011-414489-Sola,17500
4054-20708,8820
2010-145888-SLPR,58548
2011-150327-SLPR,10780
2014-646477-Sola,4164.71
4054-19778,7350
2013-538561-Sola,4064.57
2013-529455-Sola,16500
2013-535657-Sola,11938.94
2013-631039-Sola,2231.69
2012-454440-SLPR,13291.25
2014-662733-Sola,3550.37
2014-660804-Sola,3178.65
2012-456101-SLPR,64240
2012-487478-Sola,15435
2013-534548-Sola,13235.07
2013-636686-Sola,3844.99
2014-649546-Sola,2407.85
4116-002,6300
2011-157019-SLPR,19800
2014-645324-Sola,4152.75
2010-145704-SLPR,14520
2014-653832-Sola,4117.68
4061-22109,12250
2014-663240-Sola,3632.31
4061-23079,11655
2013-539958-Sola,2187.35
2010-148507-SLPR,7875
2012-464496-Sola,7140
2014-639939-Sola,4438.67
2014-645651-Sola,3997.59
4006-67870,3360
2011-378608-SLPR,5544.65
2011-157199-SLPR,39200
2013-636607-Sola,43743.28
4018-34775,6500
2011-187860-SLPR,24500
2014-663688-Sola,2750.42
2013-528269-Sola,17500
2013-530944-Sola,13734
2011-230103-SLPR,6580
2014-638476-Sola,3968.07
4033-51099,6048
2012-502594-Sola,9432.5
2013-631090-Sola,3129.67
2011-156643-SLPR,49950
4018-011,27680
2011-156348-SLPR,28800
2014-656054-Sola,2656.61
2011-159784-SLPR,35000
2011-184093-SLPR,34912.5
4086-039,200000
2012-500762-Sola,85750
4089-23897,7560
2011-156814-SLPR,2250
2011-157272-SLPR,39936
2011-188613-SLPR,49500
2012-518055-Sola,17500
2013-537897-Sola,8073.26
2014-646148-Sola,5504.63
2012-457584-Sola,12600
2011-160664-SLPR,20475
4006-51874,8829
2013-537768-Sola,4918.22
2011-160321-SLPR,21362.5
2013-539677-Sola,4616.7
4011-44338,7440
4014-003-1,157840
2011-157297-SLPR,9600
2010-144606-SLPR,15750
2011-158273-SLPR,19635
2011-157619-SLPR,37500
2011-159333-SLPR,34650
2011-189010-SLPR,49500
2013-528400-Sola,7140
2012-479104-Sola,17500
2012-456601-Sola,17500
2012-458254-Sola,17500
2014-646199-Sola,5549.29
2011-156686-SLPR,48000
2011-157734-SLPR,17160
2011-432305-SLPR,86240
2011-157185-SLPR,12600
2013-532857-Sola,4420.4
2011-159588-SLPR,34650
2011-159954-SLPR,35000
2012-517527-Sola,17500
4033-47902,10500
2012-474973-Sola,9047.5
2014-646054-Sola,6600
2014-654862-Sola,2578.57
2011-160867-SLPR,32357.5
2014-636830-Sola,2690.14
2014-664346-Sola,6546.7
2011-157579-SLPR,23094.5
4015-25710,36052
